customer_id,customer_hk,first_name,last_name,full_name,gender,birth_date,age,age_group,country,city,customer_segment,loyalty_tier,signup_date,preferred_channel,days_since_signup,valid_from,snapshot_date
CUST0011,16b47e58d651294003db1569f63977af83a83892673fc7dcc5352fdee0e22d77,Fatou,Ouattara,Fatou Ouattara,M,1989-04-05,36,35-44,France,Paris,Budget,None,2023-08-27,Web,493,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0012,3ab627970a534e66fe8441d1cf0394a30f48ab30ee552547495a347bc9e68f7f,Didier,Diallo,Didier Diallo,M,1983-01-05,42,35-44,Nigeria,Lagos,Standard,Explorer,2023-11-23,Mobile App,405,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0013,f9c15b39f04106ca1299543cadc821d6bb425c446111c1d0e9e3f520ccdb37b1,Bintou,Ndiaye,Bintou Ndiaye,F,1994-11-26,31,25-34,Benin,Cotonou,Standard,Explorer,2024-05-08,Corporate Desk,238,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0014,d3f5543959ea81981562659041362280d6fc1d5c42c80d813964b98b060f9749,Yao,Traore,Yao Traore,F,1993-03-04,32,25-34,Côte d'Ivoire,Bouaké,Standard,None,2024-08-03,Mobile App,151,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0015,41350989685d623e53fc6fc8483cef79ca3ca4a9e823ed2408bb8a3c61fe79da,Koffi,Amani,Koffi Amani,F,1969-04-20,56,55+,France,Paris,Budget,None,2023-12-22,Travel Agency,376,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0016,36f21d395a17b621b413264417c6d457f36626dbfbfe1a694e5558c203c72b10,Koffi,Traore,Koffi Traore,M,1994-08-16,31,25-34,Nigeria,Lagos,Budget,None,2023-12-17,Travel Agency,381,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0017,344ae061d54780815c11bf475603183d6f764ee524b6b34ddc6c662e8984a03a,Serge,Diallo,Serge Diallo,F,1978-09-12,47,45-54,Nigeria,Lagos,Business,Gold,2024-06-24,Travel Agency,191,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0018,a218753aa132579e54c4467dd0989f6c23afe7707910d8aefa0f1e04f8cd0df2,Koffi,Mensah,Koffi Mensah,M,1975-06-25,50,45-54,Benin,Cotonou,Standard,Silver,2023-12-04,Mobile App,394,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0019,06e5ec450c445fdd79f7696922bec640bf339e6a15c8361e440402f98fd522d0,Yao,Kouassi,Yao Kouassi,M,1979-04-17,46,45-54,France,Paris,Standard,None,2023-01-29,Travel Agency,703,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0020,25961ce55c49fe6252a2e03dfd02ef8da6c2cc0843e37dac6438f335bc58a7d2,Fatou,Kouassi,Fatou Kouassi,M,1993-12-12,32,25-34,Nigeria,Lagos,Budget,None,2024-04-26,Mobile App,250,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0021,4d84acfedb703cd53c74b61b342ed4c6f51c7cf997811039b164c72e9ba709e6,Yao,Kone,Yao Kone,F,1995-11-12,30,25-34,Senegal,Dakar,Business,None,2024-02-02,Mobile App,334,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0022,54861034b7dd7dc20bc95af07a947e4e7e088c17d8f483cd09b96cbe41e5678c,Mariam,Ouattara,Mariam Ouattara,M,1970-12-13,55,55+,Nigeria,Lagos,Standard,Gold,2023-06-12,Mobile App,569,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0023,0243d097e519fef38280f8a1af542581d067e7dc9186648a8c3f65b05ee011a8,Awa,Diallo,Awa Diallo,M,1974-10-27,51,45-54,Ghana,Accra,Business,Explorer,2024-07-15,Mobile App,170,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0024,7f8c989294fa7b662ba55953950c7c9db29ace80e19722c685bfbb4cb9978c62,Awa,Traore,Awa Traore,F,1992-04-27,33,25-34,Côte d'Ivoire,Abidjan,Budget,None,2024-05-28,Mobile App,218,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0025,5640bccb7db8a2219836fffa61e76289fec13cf5c4f6bcbc7d746ab13f3698ea,Jean,Mensah,Jean Mensah,M,1973-01-24,52,45-54,France,Paris,Business,Silver,2024-06-13,Corporate Desk,202,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0026,4647963802543d88edecf9bd3e520743c2f35fa2565b5eca8b8033b2bfec1c93,Mariam,Sow,Mariam Sow,F,1998-09-01,27,25-34,France,Paris,Business,Explorer,2023-06-03,Mobile App,578,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0027,4dd230c13002ab8ad94819f01cb57efac805c02c03fad10e6292593787a241ad,Nadia,Ndiaye,Nadia Ndiaye,F,2000-01-11,25,25-34,Ghana,Accra,Business,None,2024-07-27,Web,158,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0028,e91f7f67a179fed08c4143f7e6555664ef3294c56cdb71a389a6a7905ce9ce5e,Yao,Mensah,Yao Mensah,F,1971-09-15,54,45-54,Ghana,Accra,Business,Gold,2024-03-29,Travel Agency,278,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0029,fa7e2550cf2b6143ad6834d4baf347e755af7dd4db728b21f27c048c20dedd98,Bintou,Ndiaye,Bintou Ndiaye,F,1982-08-17,43,35-44,France,Paris,Standard,None,2024-06-19,Travel Agency,196,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0030,fde8334167ca4b61ae40d19ccf81e2e5a2295798e1a463837c02983c28d7207f,Yao,Kone,Yao Kone,F,1991-02-13,34,25-34,France,Paris,Standard,Silver,2024-03-14,Web,293,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0031,5671a9fc63081e63e1bc5288a2616c917750544262bd80d8a0e4f4167a2aa6da,Aminata,Mensah,Aminata Mensah,F,1974-12-21,51,45-54,Ghana,Accra,Budget,Gold,2024-04-23,Mobile App,253,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0032,3274157c695aa5170207703c432510967474c1a851b9830d43596fb68bedfeee,Koffi,Ouattara,Koffi Ouattara,M,1975-11-27,50,45-54,Benin,Cotonou,Budget,Explorer,2024-06-11,Corporate Desk,204,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0033,a30549fe7fbb294d924806dee87195e2db799c66397b7cfc3db1044888f95d3f,Amadou,Kouassi,Amadou Kouassi,M,1985-02-24,40,35-44,Senegal,Dakar,Budget,Explorer,2024-03-27,Web,280,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0034,5ca36c4233ca77dd4798665377aeb2b2b0342985d6e746cfa600fdd7b8d1ff44,Jean,Sow,Jean Sow,M,1997-02-04,28,25-34,Nigeria,Lagos,Premium,None,2023-09-29,Travel Agency,460,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0035,dd5f9eaf0ce62b557c249f8989175a48e0dfbe718e173f66790a8f8f7a8f0658,Mariam,Mensah,Mariam Mensah,F,1992-11-27,33,25-34,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-06-11,Corporate Desk,204,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0036,5133b0d7cee0a39f5504ad9e8e30876d6c01a1a3f36a55c084c3738d6f01d263,Jean,Traore,Jean Traore,M,1968-12-06,57,55+,Benin,Cotonou,Business,None,2023-01-18,Web,714,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0037,75feacc3464631a6924dccf635b85ae1f328c46d235567ea86217be5779479ec,Koffi,Ndiaye,Koffi Ndiaye,F,1969-05-28,56,55+,Senegal,Dakar,Standard,None,2024-07-20,Corporate Desk,165,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0038,5c61d77c028b99fcde28802ffacfa3cc833541cf5746387dc31b6158f7ecc3f1,Didier,Diallo,Didier Diallo,F,1998-12-08,27,25-34,Senegal,Dakar,Premium,None,2023-07-05,Mobile App,546,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0039,e82dca3101626ee1902e16f08a17da69af0c8dfbd1e9156e82640e33d6c8576f,Aminata,Mensah,Aminata Mensah,F,1983-08-17,42,35-44,Senegal,Dakar,Standard,Silver,2023-09-14,Web,475,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0040,ef16a65ab605b984787307bab50db24571ee3868fcb88bc921eaff408f4a5b03,Awa,Sow,Awa Sow,F,1997-08-08,28,25-34,Côte d'Ivoire,Bouaké,Budget,Silver,2024-03-18,Corporate Desk,289,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0041,bb5709c4297abd11408e76504feb7bde4c0d3e90a92b6bd17fee8b94e5b32a91,Amadou,Sow,Amadou Sow,M,1978-04-11,47,45-54,France,Paris,Business,Silver,2024-10-13,Mobile App,80,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0042,89b21fcc0f4b3e3a285675049a17303e1a1b132ad61f744cf9a91512d9b4f2e2,Jean,Konan,Jean Konan,F,1965-02-21,60,55+,Nigeria,Lagos,Standard,None,2024-11-12,Corporate Desk,50,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0043,9369d5d7bba0b137bbd4b81f3a0d243e0d6c6165ec3cfee8d594a0bdaaeca089,Aminata,Mensah,Aminata Mensah,F,1983-01-15,42,35-44,France,Paris,Budget,Explorer,2023-09-27,Travel Agency,462,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0044,1c6a12ba34f1cf2efac449cf6db139db290c51e97f9d53caf5be91cb3df43410,Bintou,Amani,Bintou Amani,F,1967-05-07,58,55+,Senegal,Dakar,Budget,None,2023-03-27,Corporate Desk,646,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0045,195bb9bd10b6a1ed7f3f27e22fa5329fa7a5e743123d1c1b204e95cd1131f67d,Bintou,Kouassi,Bintou Kouassi,F,1997-01-03,28,25-34,Senegal,Dakar,Business,None,2024-08-23,Web,131,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0046,36c9443fec42e4e1d5a25d97a0c26ab0d003e9c41d85362c51d0a26bf05400ba,Awa,Mensah,Awa Mensah,M,1979-02-19,46,45-54,Nigeria,Lagos,Business,Silver,2024-09-02,Corporate Desk,121,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0047,4ced3702e90a25dda9ed339ba7457b932e8f95ce810de898e45031582ee24e35,Serge,Kone,Serge Kone,F,1983-12-20,42,35-44,Senegal,Dakar,Budget,Silver,2024-06-09,Corporate Desk,206,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0048,c326fff797c1de1a90145d86301028deac9d6dc6bc63b9d9caaa5c3bb6bcae12,Serge,Sow,Serge Sow,F,1998-09-19,27,25-34,Benin,Cotonou,Business,Explorer,2024-11-30,Mobile App,32,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0049,931dc5a2d8f4549cbf3b94bd21968d4c74d9101d1d63488166f4c77331c0e805,Awa,Konan,Awa Konan,F,1988-02-13,37,35-44,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-10-03,Mobile App,90,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0050,b655f44c0d80cba84d21fa9c22cc135b945e924424e2d1419ccc016f17171c18,Fatou,Konan,Fatou Konan,M,1969-12-17,56,55+,Nigeria,Lagos,Business,None,2024-04-30,Travel Agency,246,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0051,79fc7caceb681fad740b897275824364ba1aacf77273e4a5ae983a6f0ea9ac20,Fatou,Kouassi,Fatou Kouassi,F,1979-12-21,46,45-54,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-05-05,Travel Agency,241,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0052,072d9be522344022b2d0cdd3a228fa536b1aed5708470c62cd430abf94f014ff,Didier,Kouassi,Didier Kouassi,F,1974-06-09,51,45-54,Côte d'Ivoire,Yamoussoukro,Business,None,2024-08-04,Mobile App,150,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0053,ee567783eedecccb13dc9fad67631a4c35621b8859825425291e3d2e0d78a4a7,Nadia,Konan,Nadia Konan,M,1982-11-04,43,35-44,Côte d'Ivoire,Yamoussoukro,Standard,Explorer,2024-06-12,Travel Agency,203,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0054,d94e00be5a61e80288061633f4ef977ed463c3757e808f58512002432e3b0ff5,Nadia,Kone,Nadia Kone,F,2000-04-10,25,25-34,Nigeria,Lagos,Premium,None,2024-04-14,Web,262,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0055,2605f6bb8d8afe3e00fc65ab9f8c21eefb17fe65c881e988c2963af69fa31554,Nadia,Mensah,Nadia Mensah,M,1978-04-03,47,45-54,France,Paris,Budget,Explorer,2024-01-04,Mobile App,363,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0056,0df965f4c4cd1ba3c3f486a05d90893ea515f0368c1d59b390d755149823e1c9,Aminata,Sow,Aminata Sow,M,1972-12-12,53,45-54,France,Paris,Standard,Gold,2024-02-08,Web,328,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0057,604592e80f1acc4fe8de8be43b3f35bd7c54ea0d74a47277927740e73b1752fb,Awa,Kone,Awa Kone,M,1990-05-24,35,35-44,Ghana,Accra,Standard,Explorer,2023-05-04,Travel Agency,608,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0058,c9422ed449abe7921dffc00741c50be539a080daf626bb0f113861e283ef75c2,Jean,Amani,Jean Amani,M,1972-04-23,53,45-54,Côte d'Ivoire,Abidjan,Premium,None,2024-01-17,Web,350,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0059,f022c71d27d6106dfee420278ed5df780132235bd8990501fe57fc15509942b1,Amadou,Ndiaye,Amadou Ndiaye,F,1988-07-25,37,35-44,Nigeria,Lagos,Business,None,2023-02-22,Travel Agency,679,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0060,a6c957603c0bf175aba79d4424e4614a7a84b8c6cad6058bc80169993823f599,Mariam,Kouassi,Mariam Kouassi,M,1992-09-11,33,25-34,Benin,Cotonou,Business,Silver,2024-03-14,Web,293,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0061,3dafe7a3e06622b88a5073be27bac6aa664b6ce4f0688d4fe790999d2233b1f3,Amadou,Sow,Amadou Sow,F,1970-01-24,55,55+,Benin,Cotonou,Standard,Silver,2024-10-21,Travel Agency,72,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0062,2b75c5a090f57aea3e8cb9a5b5ba1832f770356a99a6ba631602731a95d83a49,Awa,Sow,Awa Sow,F,1975-08-14,50,45-54,Nigeria,Lagos,Standard,None,2024-10-30,Travel Agency,63,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0063,1a64f2cbf617b897fbefd8603cc503db0f0e6e848c02f24f9ff2b419c462097f,Aminata,Kouassi,Aminata Kouassi,M,1995-09-22,30,25-34,Nigeria,Lagos,Budget,Explorer,2023-03-18,Mobile App,655,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0064,6b83ede15c394aaa925e869317ae4083556d4a2ce3283b467a2d0a896387b766,Nadia,Sow,Nadia Sow,F,1993-06-25,32,25-34,France,Paris,Standard,Explorer,2023-09-07,Web,482,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0065,c4f686eb07f75b22435b633b867d2a3344a3c2b10b25095b5bf7c9b82553b929,Jean,Sow,Jean Sow,F,1985-04-12,40,35-44,Ghana,Accra,Business,None,2023-01-21,Corporate Desk,711,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0066,f695e7596ab6cd5e829c363e534bdeb828729aaeb46ac3624fcc15277eea8911,Amadou,Sow,Amadou Sow,F,1989-05-11,36,35-44,Nigeria,Lagos,Standard,Explorer,2024-01-04,Mobile App,363,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0067,19166643f1d5e59615cb2eafe7705e50472eac584cd1e9a461e9700c8d53926f,Bintou,Sow,Bintou Sow,F,1970-05-08,55,55+,Benin,Cotonou,Standard,Explorer,2023-11-16,Web,412,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0068,eccf2bbad131a7909b9631a60240791312443db216179f3ed944e8b24a467b8e,Awa,Ouattara,Awa Ouattara,M,1996-01-03,29,25-34,Ghana,Accra,Premium,Gold,2024-06-24,Corporate Desk,191,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0069,776554dabcab1e3a091a50fe476bce0afa931ee514f677d9c5083997f7eabd22,Yao,Traore,Yao Traore,F,1974-03-17,51,45-54,Nigeria,Lagos,Premium,Silver,2024-10-24,Corporate Desk,69,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0070,ec8093ba74169f419cc9bbb872cc86fa431e4fd8b38340209fd10a461c1aa08b,Bintou,Konan,Bintou Konan,F,1973-04-19,52,45-54,Côte d'Ivoire,Abidjan,Standard,None,2023-05-12,Travel Agency,600,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0071,e5b81a92c3e978c78ccb5949b4713f95bd6215cadf30a9504cbd39c49bb4a1fb,Aminata,Ouattara,Aminata Ouattara,F,1971-02-10,54,45-54,France,Paris,Standard,None,2024-09-07,Web,116,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0072,4d9ee9a07c4fcf17db9a1a8708007d819ae78835d9b833e8617bb97824345dc5,Bintou,Mensah,Bintou Mensah,M,1982-06-21,43,35-44,Côte d'Ivoire,Abidjan,Standard,None,2023-09-10,Web,479,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0073,c67256e9de20c365677eb39e4dcc28f120c4b0adf57d5dc5cf984cce0ddb6f2b,Serge,Mensah,Serge Mensah,F,1966-04-16,59,55+,Nigeria,Lagos,Budget,None,2024-03-10,Travel Agency,297,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0074,f42692be7be7c1b9197d1045633e7bf50dff726d91c3752550867ddfc6cc8e21,Nadia,Konan,Nadia Konan,M,1991-06-22,34,25-34,Ghana,Accra,Budget,Silver,2024-05-31,Web,215,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0075,42e525d530be5998ca17b9fca8e52051a210171e92805fd32e36a6ac69d7247c,Nadia,Kouassi,Nadia Kouassi,M,1977-04-15,48,45-54,Ghana,Accra,Standard,Gold,2023-04-22,Corporate Desk,620,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0076,cbf0d40c6d0c784fda35ab52aba42355c407af6d5b74ed05fe823e4fa553d379,Mariam,Kouassi,Mariam Kouassi,M,1991-11-02,34,25-34,France,Paris,Premium,None,2023-01-25,Mobile App,707,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0077,70b7d15d7fa1e6004f1d6f54f1665143400255c9fed0dc3c477c5073966baa92,Awa,Konan,Awa Konan,F,1990-08-23,35,35-44,Nigeria,Lagos,Business,Gold,2023-06-19,Travel Agency,562,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0078,1a8227a7eaf12f2bb551c7536b854d26588c756d83af61ee7feaa7200bd0b754,Mariam,Sow,Mariam Sow,M,1967-05-22,58,55+,Ghana,Accra,Business,Gold,2024-03-29,Mobile App,278,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0079,4bdb9f8edbc50d3b8a47f20ad0b0093d81d492cfb01b55bb6701c9192b587bcf,Awa,Traore,Awa Traore,M,1970-06-14,55,55+,Côte d'Ivoire,Abidjan,Standard,Silver,2024-01-25,Travel Agency,342,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0080,b304bb117e1a696ccf6ad819d9b9467dfd024d233171546038a5bdddfe67a625,Amadou,Traore,Amadou Traore,F,1995-04-12,30,25-34,Senegal,Dakar,Budget,Explorer,2024-04-30,Web,246,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0081,0c622be3033cca202d4d84712fa316e6f8daeeee92f692ef0e68de246c3d8e45,Amadou,Kouassi,Amadou Kouassi,M,1967-07-02,58,55+,Benin,Cotonou,Budget,Gold,2023-09-21,Mobile App,468,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0082,0963c04f104f41708cb1c9b6e31c352cfee97e7d59c9e5e266af948e0ef8d49a,Koffi,Ndiaye,Koffi Ndiaye,M,1988-05-11,37,35-44,Benin,Cotonou,Standard,Silver,2023-11-21,Travel Agency,407,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0083,a7f45da42183129e0bb5868f33d2e92898b7ec830dfdac6271c70f180a134489,Awa,Ndiaye,Awa Ndiaye,F,1966-04-04,59,55+,Senegal,Dakar,Business,Explorer,2024-01-31,Travel Agency,336,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0084,23985b0ecd9ded9af898b57fa62b48e8c0d9e5d52a6e515f9bf92e6c56d52e9a,Nadia,Diallo,Nadia Diallo,M,1976-01-26,49,45-54,Nigeria,Lagos,Business,Silver,2024-09-13,Mobile App,110,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0085,fd86816eb59d2ec264d1c6d3482cd2e0794fc1d18a8cbe5ab49294df7fc57d75,Jean,Kone,Jean Kone,M,1970-09-07,55,55+,Senegal,Dakar,Business,None,2023-03-08,Web,665,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0086,961409c49657b016435fc6fb3330a671b8576dbec5d5dff423e0f54b0805e1c8,Bintou,Sow,Bintou Sow,M,1975-07-04,50,45-54,Nigeria,Lagos,Standard,None,2023-04-09,Corporate Desk,633,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0087,df951915297ce89ba6b98e18c5ed498ac4c36500c00accb970e8b2e16c41015b,Serge,Kone,Serge Kone,F,1979-03-14,46,45-54,Nigeria,Lagos,Standard,Silver,2024-07-05,Web,180,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0088,6f5c7bb531e6faa5b30c4257ad1e78bb5524f91b6e44ea94adca33934c302411,Fatou,Mensah,Fatou Mensah,M,1988-05-24,37,35-44,Senegal,Dakar,Budget,None,2023-09-09,Mobile App,480,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0089,a6d1e29920e24f62c961c52777d3041375e35858cfb02e585790354563f873c5,Fatou,Ndiaye,Fatou Ndiaye,F,1985-02-13,40,35-44,Ghana,Accra,Premium,Explorer,2023-08-25,Web,495,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0090,4de314292c083c17ec5bfd0fb8e2a0d2a6620bda4d7540365662c9cf92faa3bd,Nadia,Konan,Nadia Konan,F,1965-08-27,60,55+,Benin,Cotonou,Business,Gold,2023-02-11,Travel Agency,690,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0091,a08205a9da385dbcd42af7ee2bb4155868517066b234e555ccd402e46b527a63,Koffi,Konan,Koffi Konan,F,1977-02-12,48,45-54,Ghana,Accra,Standard,None,2024-11-11,Web,51,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0092,af531adadbf3396d1c8f2f96ec4b89ed27a0de94800b169620f1b029b240c568,Aminata,Ndiaye,Aminata Ndiaye,M,1978-01-12,47,45-54,Côte d'Ivoire,Bouaké,Budget,None,2023-09-19,Web,470,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0093,01123065b1e386e1c55f3611a14b77abac62d19a674d708b17d71d439c6affed,Serge,Kouassi,Serge Kouassi,F,1985-07-22,40,35-44,France,Paris,Budget,None,2023-07-28,Web,523,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0094,a9925d6b5a32c12567e2c6f88fcdecac2a090da3d19b850eda444d5deaebfabf,Bintou,Kone,Bintou Kone,F,1991-02-26,34,25-34,Nigeria,Lagos,Business,None,2024-06-30,Web,185,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
